Player,Score,Points,Country
Ivan Spajić,31,58023,hr
Ulises,26,57155,ar
Lautarolecu,18,30585,ar
Raquelita,17,41321,no
Hunter,14,40217,us
Kristoffer,11,45800,no
Kakolecu,11,42753,ar
Lotta,5,18510,at
